"Rule","Support","Confidence","Lift"
"[curados, fallecidos, utebo, infectados, coronavirus, hospitalizados, covidzaragoza, españa	infectados]-->datos",0.0011051250172675784,1,190.5
"[curados, fallecidos, utebo, coronavirus, hospitalizados, covidzaragoza, datos, españa	infectados]-->infectados",0.0011051250172675784,1,452.4375
"[curados, fallecidos, utebo, infectados, coronavirus, hospitalizados, covidzaragoza, datos]-->españa	infectados",0.0011051250172675784,1,723.9
"[curados, fallecidos, utebo, infectados, coronavirus, covidzaragoza, datos, españa	infectados]-->hospitalizados",0.0011051250172675784,1,723.9
"[fallecidos, utebo, infectados, coronavirus, hospitalizados, covidzaragoza, datos, españa	infectados]-->curados",0.0011051250172675784,1,556.8461538461539
"[curados, fallecidos, utebo, infectados, coronavirus, hospitalizados, datos, españa	infectados]-->covidzaragoza",0.0011051250172675784,1,723.9
"[yomequedoencasa, quedateentucasa, covidcovidtwitter, españa, coronavidquedateencasa, covid?coronavirus, encerrada, españa]-->infectado",0.0011051250172675784,1,120.64999999999999
"[yomequedoencasa, quedateentucasa, covidcovidtwitter, infectado, españa, coronavidquedateencasa, covid?coronavirus, encerrada]-->españa",0.0011051250172675784,1,3.3906323185011713
"[yomequedoencasa, quedateentucasa, covidcovidtwitter, infectado, coronavidquedateencasa, covid?coronavirus, encerrada, españa]-->españa",0.0011051250172675784,1,17.154028436018958
"[quedateentucasa, covidcovidtwitter, infectado, españa, coronavidquedateencasa, covid?coronavirus, encerrada, españa]-->yomequedoencasa",0.0011051250172675784,1,94.01298701298701
"[yomequedoencasa, quedateentucasa, covidcovidtwitter, infectado, españa, coronavidquedateencasa, covid?coronavirus, españa]-->encerrada",0.0011051250172675784,1,241.29999999999998
"[yomequedoencasa, covidcovidtwitter, infectado, españa, coronavidquedateencasa, covid?coronavirus, encerrada, españa]-->quedateentucasa",0.0011051250172675784,1,150.8125
"[yomequedoencasa, quedateentucasa, covidcovidtwitter, infectado, españa, covid?coronavirus, encerrada, españa]-->coronavidquedateencasa",0.0011051250172675784,1,249.62068965517244
"[camionero, fuerza, sanitarios, reportaje, bombero, españa, condicione, aquello, dura]-->sanitario",0.0011051250172675784,1,38.301587301587304
"[camionero, fuerza, sanitario, sanitarios, reportaje, bombero, españa, condicione, dura]-->aquello",0.0011051250172675784,1,381
"[camionero, fuerza, sanitario, sanitarios, reportaje, bombero, condicione, aquello, dura]-->españa",0.0011051250172675784,1,3.3906323185011713
"[camionero, fuerza, sanitario, sanitarios, reportaje, bombero, españa, aquello, dura]-->condicione",0.0011051250172675784,1,289.56
"[camionero, sanitario, sanitarios, reportaje, bombero, españa, condicione, aquello, dura]-->fuerza",0.0011051250172675784,1,723.9
"[camionero, fuerza, sanitario, sanitarios, reportaje, españa, condicione, aquello, dura]-->bombero",0.0011051250172675784,1,658.0909090909091
"[camionero, fuerza, sanitario, reportaje, bombero, españa, condicione, aquello, dura]-->sanitarios",0.0011051250172675784,1,381
"[camionero, fuerza, sanitario, sanitarios, bombero, españa, condicione, aquello, dura]-->reportaje",0.0011051250172675784,1,658.0909090909091
"[fuerza, sanitario, sanitarios, reportaje, bombero, españa, condicione, aquello, dura]-->camionero",0.0011051250172675784,1,804.3333333333334
