id;tweet;user_id;username;place
1255466785027096578;"🟢 DIRECTO | El portavoz de Gobierno, Chus del Río, informa de los acuerdos alcanzados en Consejo de Gobierno celebrado esta mañana, entre ellos la aprobación del Decreto por el que se establece la gratuidad de la EBAU en este año 2020.		#coronavirus #COVID19 🦠 pic.twitter.com/iCwXSbAfTn";64721604;"lariojaorg";""
1255446169041469442;"España tiene tres problemas gravísimos:	El coronavirus y sus consecuencias,	por la pésima gestión de un gobierno de pasarela y de propaganda.	Los virus de Pablo Iglesias e Irene Montero.	El psicópata de Pedro Sanchez";2751551045;"leobarezfer";""
1255445264103546883;"Está claro que este gobierno no quiere saber nada sobre la crisis del coronavirus, y la crisis económica. Ellos siguen mirando hacia otro lado totalmente. Nos tendrán de frente muy pronto.";1631126018;"valeriofuiorea";""
1255415146652086273;"▶️@cesmclm acusa al Gobierno d @garciapage d falta d sensibilidad con los sanitarios,con ya más d 3.000 contagiados y 16 fallecidos por #coronavirus en #CastillaLaMancha		Me sumo a la reivindicación d un merecido reconocimiento,es d justicia.	#PageDimisión https://www.clm24.es/articulo/sociedad/ultima-hora-coronavirus-cesm-tasa-3000-afectados-16-muertos-saldo-virus-sanitarios-clm/20200428133407277647.html …";233345061;"a_mtneziniesta";""
1255400019114569728;"Caos en #España ante el coronavirus 		La crisis sanitaria en España ha dejado al Gobierno socialcomunista de Pedro Sánchez y Pablo Iglesias desacreditado		@PanAmPost_es https://es.panampost.com/editor/2020/04/28/caos-en-espana-ante-el-coronavirus/ …";366517094;"geopolytica";""
1255259886096723975;"Una vez más este gobierno socialcomunista miente, y en este caso en una cuestión tan dramática y  que produce tanto sufrimiento como los fallecidos por el coronavirus  pic.twitter.com/hak8E43sli";1052641652513394689;"submari7";""
1255224836642820098;"Yo prefiero arriesgarme a morir por coronavirus a vivir los próximos 5 años muerto de hambre y dependiendo de las limosnas del gobierno";114252487;"tioduro80";""
1255219625924722689;"Estos en su linea, hacer no hacen nada ahora atacar al gobierno es lo suyo, !madre! si hubiésemos tenido un gobierno del PP en este gran problemazo, tendríamos tres virus que vencer, el coronavirus, el económico y social y las tijeras del PP.	Esta gentuza no merece ser de España  pic.twitter.com/iQRefvK94o";447022614;"gines_rico";""
1255218696232013826;"La OCDE ha tenido que corregir los datos de TEST al demostrarse que el gobierno los engañó al trasladárselos, pero Pedro Sanchez vuelve a repetir el bulo hace dos horas.	¿En el top ten? Después del 10 viene el 11, y así hasta el puesto 18 Pedro.. #COVID19 #Coronavirus  pic.twitter.com/new2hFJZ3C";286087132;"fontabigastro";""
1255193162013904900;"Este martes, el Gobierno de Aragón ha elevado el número de  casos de coronavirus hasta 5.557. La cifra de fallecidos por esta enfermedad se sitúa en 735, 9 más que el lunes. La provincia no ha registrado ninguna víctima mortal desde el 24 de marzo. 	 https://youtu.be/mODTh51CnPA ";515784639;"calamocha_tv";""
1255176567237509121;"Noticias de actualidad destacadas sobre la #pandemia del #coronavirus #Covid19 El Gobierno socialista #PedroSanchezDimision evita marcar fechas para la desescalada y se concentra en fases y marcadores    https://elpais.com/sociedad/2020-04-28/el-gobierno-evita-marcar-fechas-para-la-desescalada-y-se-concentra-en-fases-y-marcadores.html … vía @segurpricat #careonsafety #segurpricat";1867811605;"careonsafety";""
1255120255027949569;"Estoy flipando con las declaraciones  que acaba  de hacer, acusando al gobierno de usar este tema para tapar los muertos por el coronavirus 😱😱😱";597596414;"ikersatrustegi";""
1255108787343699968;"El PP no se cree el octavo puesto de España en el ranking de la OCDE sobre la realización de test del coronavirus porque los datos los ha facilitado el Gobierno  https://www.eldiario.es/edilive/_b363 ";1055993414;"manolinelreal";""
